t,x,y
0.0,0.0,0.1
0.01,-0.0005045215432721412,0.10090234402912515
0.02,-0.001018135631996727,0.10180936216614388
0.03,-0.001540945724736255,0.10272102447211576
0.04,-0.0020730263937345918,0.10363730798650668
0.05,-0.0026144942073746784,0.1045581776465744
0.06,-0.0031654527247386875,0.10548360081586394
0.07,-0.003725990985683642,0.10641354675758613
0.08,-0.004296206258387709,0.10734798337018328
0.09,-0.004876196846649045,0.10828687498735402
0.1,-0.005466060949506054,0.1092301863505975
0.11,-0.006065897122639217,0.11017788059149955
0.12,-0.00667580424318383,0.11112991944821281
0.13,-0.007295881341024173,0.11208626391992506
0.14,-0.007926227731388708,0.11304687290625536
0.15,-0.008566942925935916,0.11401170458272204
0.16,-0.009218126687975996,0.114980716074592
0.17,-0.009879879129587514,0.11595386288328939
0.18,-0.01055230063315096,0.11693109898093393
0.19,-0.011235491061176122,0.11791237776235808
0.2,-0.01192955075598826,0.11889765084066324
0.21,-0.012634580448199845,0.119886868157495
0.22,-0.013350681104497815,0.12087997816643241
0.23,-0.01407795384028411,0.12187692792597649
0.24,-0.014816499053452822,0.12287766402158887
0.25,-0.015566417524872506,0.12388213139429904
0.26,-0.016327810313381708,0.12489027345247485
0.27,-0.017100778590277955,0.12590203224799829
0.28,-0.01788542357760801,0.12691734842907892
0.29,-0.01868184594563348,0.12793616077952322
0.3,-0.019490146581503758,0.12895840680650378
0.31,-0.020310426512980487,0.1299840226822349
0.32,-0.02114278679424288,0.1310129431566532
0.33,-0.021987328760139056,0.13204510172963288
0.34,-0.022844151843831657,0.13308042917278268
0.35000000000000003,-0.02371335720019719,0.1341188559837312
0.36,-0.024595045243714548,0.13516031071843213
0.37,-0.025489316369829106,0.13620472047977544
0.38,-0.02639627083959496,0.13725201085077654
0.39,-0.027316007904713016,0.138302105402466
0.4,-0.028248627025122562,0.1393549263733923
0.41000000000000003,-0.029194227636903398,0.1404103945374487
0.42,-0.030152908945847722,0.14146842908607254
0.43,-0.0311247699006491,0.14252894761101156
0.44,-0.03210990916609137,0.14359186608709004
0.45,-0.0331084250962376,0.14465709885497505
0.46,-0.03412041569971225,0.14572455860369735
0.47000000000000003,-0.03514597812147615,0.1467941563381671
0.48,-0.03618520906492712,0.14786580137587163
0.49,-0.037238204965461215,0.14893940133586
0.5,-0.03830506174348737,0.1500148621146762
0.51,-0.03938587477278486,0.1510920878689757
0.52,-0.04048073884886065,0.15217098099814153
0.53,-0.041589748157306816,0.1532514421269007
0.54,-0.04271299624215794,0.15433337008794043
0.55,-0.04385057634205434,0.15541666240453708
0.56,-0.0450025814092319,0.15650121534200456
0.5700000000000001,-0.04616910333912632,0.15758692288601472
0.58,-0.047350233336391746,0.1586736772658131
0.59,-0.04854606189316697,0.1597613689503058
0.6,-0.04975667876314395,0.16084988663843952
0.61,-0.05098217293563645,0.16193911724958227
0.62,-0.05222263260964867,0.16302894591390363
0.63,-0.053478145112443067,0.16411925605817293
0.64,-0.054748796734206004,0.16520992963580372
0.65,-0.056034672998114536,0.16630084660834893
0.66,-0.057335858523691975,0.16739188512622108
0.67,-0.058652436984372246,0.16848292154744693
0.68,-0.059984491079829776,0.16957383043103735
0.6900000000000001,-0.061332102508309304,0.17066448453035676
0.7000000000000001,-0.06269535193895578,0.17175475478649296
0.71,-0.064074318955851,0.17284451035695195
0.72,-0.06546908175620539,0.17393361895129966
0.73,-0.06687971750996,0.17502194634100726
0.74,-0.06830630227279365,0.17610935642688752
0.75,-0.06974891089584219,0.17719571131063633
0.76,-0.07120761699551699,0.17828087129133785
0.77,-0.07268249292332343,0.1793646948619697
0.78,-0.07417360973567945,0.18044703870590822
0.79,-0.07568103706840847,0.18152775787447253
0.8,-0.0772048433355853,0.18260670534846904
0.81,-0.07874509513351631,0.18368373310931704
0.8200000000000001,-0.08030185788585444,0.18475869085305416
0.8300000000000001,-0.08187519553789624,0.1858314265101026
0.84,-0.08346517052578552,0.18690178624294185
0.85,-0.08507184374548374,0.1879696144442247
0.86,-0.08669527452150703,0.18903475373533624
0.87,-0.08833552057542997,0.19009704496539614
0.88,-0.0899926378988071,0.19115632749482064
0.89,-0.09166668070367104,0.1922124392474729
0.9,-0.09335770159463203,0.19326521610224212
0.91,-0.09506575142464464,0.19431449222696653
0.92,-0.0967908792586058,0.19536010009079277
0.93,-0.09853313233813948,0.19640187047274713
0.9400000000000001,-0.1002925560460515,0.19743963247103777
0.9500000000000001,-0.10206919387045432,0.19847321351308805
0.96,-0.103863087368562,0.19950243936630063
0.97,-0.10567427613015519,0.20052713414955273
0.98,-0.10750279775284807,0.2015471204306778
0.99,-0.1093486878491553,0.20256221955046824
1.0,-0.11121197992466095,0.20357225104391008
1.01,-0.11309270536875969,0.20457703285555717
1.02,-0.11499089342322297,0.20557638140212225
1.03,-0.1169065711444106,0.20657011159346142
1.04,-0.11883976336518319,0.2075580368545052
1.05,-0.12079049265651517,0.20853996914813608
1.06,-0.1227587792888086,0.20951571899901228
1.07,-0.12474464119290762,0.21048509551833797
1.08,-0.12674809394173486,0.2114479064131205
1.09,-0.12876915117335297,0.21240395764885076
1.1,-0.1308078239996589,0.21335305391093964
1.11,-0.13286412094018069,0.21429499865374516
1.12,-0.1349380480386747,0.21522959400649413
1.1300000000000001,-0.13702960882862306,0.21615664079879107
1.1400000000000001,-0.13913880429870049,0.2170759385868622
1.1500000000000001,-0.14126563285821037,0.2179872856805344
1.16,-0.1434100903024902,0.21889047917094973
1.17,-0.1455721697782861,0.2197853149590145
1.18,-0.14775186174909663,0.2206715877845839
